origin_clean,origin_missing_or_unknown,brand_clean,brand_mismatch_title,model_clean,model_recovered,_ram_gb,_storage_gb,_screen_size_inch,_title_ram_gb,_title_storage_gb,_title_cpu,_title_screen_size_inch,_ram_gb_filled,_storage_gb_filled,_screen_size_inch_filled,ram_missing,storage_capacity_missing,screen_missing,ram_suspicious,storage_missing_all,cpu_missing,cpu_brand,cpu_tier,gpu_missing,gpu_tier,potential_dedicated_gpu,warranty_months,warranty_status,has_warranty,storage_type_clean,was_storage_type_imputed,condition_clean,repair_mismatch,condition_warranty_inconsistent,brand_grouped,model_grouped,brand_is_rare,model_is_rare,_price
Other,False,Apple,False,Macbook air m4,Macbook air m4,16.0,256.0,13.95,16.0,256.0,m4,,16.0,256.0,13.95,False,False,False,False,False,False,Apple,Mid,False,Integrated - Intel,False,13.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Apple,Macbook air m4,False,False,22490000.0
Mỹ,False,Dell,False,Latitude,Latitude,8.0,256.0,13.95,8.0,,i7 10610,,8.0,256.0,13.95,False,False,False,False,False,False,Intel,Upper-mid,False,Integrated - Intel,False,1.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Latitude,False,False,6599999.0
Unknown,True,Lenovo,False,Dòng Khác,ThinkPad,8.0,256.0,13.95,8.0,256.0,i5-8250u,,8.0,256.0,13.95,False,False,False,False,False,False,Intel,Mid,True,Missing,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Lenovo,Dòng Khác,False,False,3800000.0
Nhật Bản,False,Hãng khác,False,Dòng Khác,Dòng Khác,8.0,256.0,13.95,8.0,256.0,Unknown,,8.0,256.0,13.95,False,False,False,False,False,False,Intel,Mid,False,Integrated - Intel,False,0.0,Expired,False,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Hãng khác,Dòng Khác,False,False,3900000.0
Unknown,True,HP,False,Dòng Khác,Dòng Khác,4.0,127.0,13.95,,,Unknown,,4.0,127.0,13.95,False,False,False,False,False,False,Intel,Entry,True,Missing,False,1.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,HP,Dòng Khác,False,False,2200000.0
Unknown,True,Dell,False,Precision 15 7000,Precision 15 7000,8.0,256.0,,8.0,,i7 6820hq,,8.0,256.0,,False,False,True,False,False,False,Intel,Upper-mid,False,Unclear,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Other,False,True,4900000.0
Unknown,True,Lenovo,False,ThinkBook 13,ThinkBook 13,16.0,256.0,13.95,16.0,256.0,i7-8565u,13.3,16.0,256.0,13.95,False,False,False,False,False,False,Intel,Upper-mid,False,Integrated - AMD Radeon,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Lenovo,Other,False,True,6900000.0
Unknown,True,MSI,False,Modern 15,Modern 15,8.0,256.0,15.95,8.0,256.0,ryzen 5,,8.0,256.0,15.95,False,False,False,False,False,False,AMD,Mid,False,Integrated - Intel,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,MSI,Other,False,True,6500000.0
Việt Nam,False,Dell,False,Latitude,Latitude,8.0,127.0,13.95,8.0,128.0,i5-4210u,14.0,8.0,127.0,13.95,False,False,False,False,False,False,Intel,Mid,False,Dedicated - Other/Entry,False,3.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Latitude,False,False,2999000.0
Việt Nam,False,HP,False,Victus,Victus,16.0,512.0,15.95,16.0,512.0,i5-12500h,,16.0,512.0,15.95,False,False,False,False,False,False,Intel,Mid,False,Dedicated - Other/Entry,False,3.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,HP,Other,False,True,14900000.0
