experiment_type,experiment_name,model_name,target_used,tuning_stage,evaluation_scale,n_features,train_rows,valid_rows,test_rows,train_time_sec,predict_time_sec,best_iteration,valid_mae,valid_rmse,valid_r2,valid_mape,valid_mape_pct,valid_median_ae,valid_max_error,stage_number,stage_best_rank_metric,valid_log_scale_mae,valid_log_scale_rmse,valid_log_scale_r2,valid_log_scale_mape,valid_log_scale_mape_pct,valid_log_scale_median_ae,valid_log_scale_max_error,test_mae,test_rmse,test_r2,test_mape,test_mape_pct,test_median_ae,test_max_error,test_log_scale_mae,test_log_scale_rmse,test_log_scale_r2,test_log_scale_mape,test_log_scale_mape_pct,test_log_scale_median_ae,test_log_scale_max_error
stage_best_result,catboost_price_1_learning_rate_iterations_2,CatBoost,target_price,stage_1_learning_rate_iterations,target_price,86,4377,1459.0,1460,4.445346500000596,0.004358400001365226,1364.0,3.2467785154265925,5.298080658589191,0.8803366617349402,0.30594993212827054,30.594993212827053,1.857787411439202,40.8593788772709,1.0,valid_mae,,,,,,,,,,,,,,,,,,,,,
exploration_result,catboost_price_2_tree_complexity_0,CatBoost,target_price,stage_2_tree_complexity,target_price,86,4377,1459.0,1460,2.784847599999921,0.005243999999947846,1498.0,3.3222346545981893,5.366587420131893,0.8772220439154055,0.31852406299153163,31.852406299153163,1.9541009135680998,40.094593676405395,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,catboost_price_2_tree_complexity_1,CatBoost,target_price,stage_2_tree_complexity,target_price,86,4377,1459.0,1460,3.2548032000013336,0.004222999999910826,1485.0,3.2595279021308152,5.2600149992603145,0.8820499992794367,0.30864676817571485,30.864676817571485,1.8900777626571852,40.40476801875759,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,catboost_price_2_tree_complexity_2,CatBoost,target_price,stage_2_tree_complexity,target_price,86,4377,1459.0,1460,4.4926061000005575,0.004412500002217712,1364.0,3.2467785154265925,5.298080658589191,0.8803366617349402,0.30594993212827054,30.594993212827053,1.857787411439202,40.8593788772709,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,catboost_price_2_tree_complexity_3,CatBoost,target_price,stage_2_tree_complexity,target_price,86,4377,1459.0,1460,5.57792910000353,0.008660999999847263,1185.0,3.2502019722532336,5.325252543013178,0.8791060967742889,0.3046058239480865,30.46058239480865,1.8595248458477762,49.06334787549819,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,catboost_price_2_tree_complexity_4,CatBoost,target_price,stage_2_tree_complexity,target_price,86,4377,1459.0,1460,7.532021600000007,0.013182300001062686,1059.0,3.265034001759763,5.359792728324022,0.8775327479767441,0.3045884885317455,30.45884885317455,1.9072906472073328,50.36039118483113,,,,,,,,,,,,,,,,,,,,,,,
stage_best_result,catboost_price_2_tree_complexity_2,CatBoost,target_price,stage_2_tree_complexity,target_price,86,4377,1459.0,1460,4.4926061000005575,0.004412500002217712,1364.0,3.2467785154265925,5.298080658589191,0.8803366617349402,0.30594993212827054,30.594993212827053,1.857787411439202,40.8593788772709,2.0,valid_mae,,,,,,,,,,,,,,,,,,,,,
exploration_result,catboost_price_3_regularization_0,CatBoost,target_price,stage_3_regularization,target_price,86,4377,1459.0,1460,4.5320503000002645,0.009003999999549706,1378.0,3.231944315026841,5.238781591302621,0.8830003484679346,0.30214536581812534,30.214536581812535,1.8503736521047909,41.592177452435834,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,catboost_price_3_regularization_1,CatBoost,target_price,stage_3_regularization,target_price,86,4377,1459.0,1460,4.559498800001165,0.006613000001379987,1364.0,3.2467785154265925,5.298080658589191,0.8803366617349402,0.30594993212827054,30.594993212827053,1.857787411439202,40.8593788772709,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,catboost_price_3_regularization_2,CatBoost,target_price,stage_3_regularization,target_price,86,4377,1459.0,1460,5.025444499999139,0.005021199998736847,1497.0,3.2577991362507226,5.288098384151302,0.8807871595854675,0.30626942317029054,30.626942317029055,1.813092134967654,39.572420947332276,,,,,,,,,,,,,,,,,,,,,,,
