Hãng sản xuất,Công nghệ CPU,Loại CPU,Dung lượng RAM,Loại RAM,Loại ổ cứng,Dung lượng ổ cứng (GB),Đồ họa đã làm sạch,Kích thước (inch),shop_1_price,shop_1_name,shop_2_price,shop_2_name,shop_3_price,shop_3_name
Asus,Intel Core i9,13900H,32.0,DDR5,,,RTX 4070,16.0,61490000,kigimart.com,62699000,eaz.com.vn,64490000.0,laptopworld.vn
Msi,Intel Core i7,12650H,8.0,DDR4,SSD,512.0,RTX 3050,15.6,18690000,dienmayxanh.com,14500000,laptop15.vn,15950000.0,vitinhmanhphat.com
Hp,Intel Core Ultra 5,225U,16.0,LPDDR5x,SSD,512.0,Other GPU,14.0,21400000,hkc.vn,23690000,dienmayxanh.com,26190000.0,fptshop.com.vn
Asus,Intel Core i3,10110U,4.0,DDR4,SSD,256.0,Intel UHD Graphics,14.0,7990000,n2c.vn,9799000,eaz.com.vn,11441000.0,thuanthientech.vn
Lenovo,Intel Core Ultra 9,185H,32.0,LPDDR5x,SSD,1024.0,Intel Arc Graphics,13.5,21500000,laptop15.vn,23700000,mac24h.vn,23990000.0,laptopre.vn
Acer,Intel Core 7,150U,16.0,DDR4,SSD,512.0,Other GPU,15.6,18990000,kigimart.com,19999000,hacom.vn,20990000.0,mega.com.vn
Asus,AMD Ryzen 5,5600H,8.0,DDR4,SSD,512.0,AMD Radeon Graphics,15.6,14799000,eaz.com.vn,16000000,laptop15.vn,16400000.0,vitinhphuclam.com
Lenovo,Intel Core Ultra 7,155U,16.0,LPDDR5x,SSD,1024.0,Other GPU,14.0,31490000,tnc.com.vn,33099000,eaz.com.vn,33940000.0,maytinhcdc.vn
Msi,Intel Core Ultra 7,255HX,16.0,DDR5,SSD,1024.0,RTX 5070,16.0,53990000,fptshop.com.vn,43499000,eaz.com.vn,44790000.0,thinhtien.vn
Microsoft,Snapdragon X Elite,,16.0,DDR5,SSD,1024.0,Other GPU,15.0,37490000,surfacecenter.com.vn,37500000,surfaceplus.vn,37500000.0,surface24h.vn
Acer,AMD Ryzen 5,3500U,8.0,DDR4,SSD,512.0,AMD Radeon Graphics,15.6,12950000,vinhhung.com.vn,13229000,sieuthinho.com,13590000.0,compro.com.vn
Asus,Intel Core i3,7020U,4.0,DDR4,HDD,1024.0,Other GPU,14.0,8970000,hkc.vn,5200000,lap24h.vn,8190000.0,laptopfull.com
Dell,AMD Ryzen 5,5500U,8.0,DDR4,SSD,256.0,Other GPU,15.6,10499000,maytinhquanganh.com,11990000,laptopk1.vn,11990000.0,laptoptld.com
