sample_id,actual_price,predicted_price,residual,absolute_error,percentage_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type,model_name,target_used
4113,1.4,3.5179654543408194,-2.1179654543408195,2.1179654543408195,-1.5128324663057051,1.5128324663057051,2.512832465591419,Low,extreme_error,LightGBM,log_target_price
1683,1.9,4.765842126790657,-2.8658421267906573,2.8658421267906573,-1.508337960674905,1.508337960674905,2.508337960148589,Low,extreme_error,CatBoost,target_price
296,2.0,5.015230681905718,-3.0152306819057184,3.0152306819057184,-1.5076153401990515,1.5076153401990515,2.5076153396990515,Low,extreme_error,CatBoost,target_price
1683,1.9,4.734912278798374,-2.8349122787983743,2.8349122787983743,-1.4920590933191131,1.4920590933191131,2.492059092792797,Low,extreme_error,LightGBM,target_price
2523,1.65,4.1080285751717085,-2.4580285751717086,2.4580285751717086,-1.4897142870799966,1.4897142870799966,2.489714286473936,Low,extreme_error,LightGBM,target_price
1699,2.5,6.185387017161007,-3.6853870171610073,3.6853870171610073,-1.474154806274741,1.474154806274741,2.4741548058747407,Low,extreme_error,CatBoost,target_price
3142,2.0,4.918498688804677,-2.918498688804677,2.918498688804677,-1.4592493436727136,1.4592493436727136,2.4592493431727136,Low,extreme_error,CatBoost,target_price
5433,11.9,29.261638480961963,-17.361638480961965,17.361638480961965,-1.4589612167649582,1.4589612167649582,2.4589612166809243,High,extreme_error,CatBoost,target_price
1075,2.7,6.635221883821821,-3.935221883821821,3.935221883821821,-1.4574895860608632,1.4574895860608632,2.457489585690493,Low,extreme_error,CatBoost,target_price
2354,1.9,4.652930849362985,-2.752930849362985,2.752930849362985,-1.4489109725863547,1.4489109725863547,2.448910972060039,Low,extreme_error,LightGBM,log_target_price
1726,2.5,6.119188617084752,-3.619188617084752,3.619188617084752,-1.4476754462548305,1.4476754462548305,2.44767544585483,Low,extreme_error,LightGBM,target_price
4796,3.0,7.252214236070907,-4.252214236070907,4.252214236070907,-1.4174047448845009,1.4174047448845009,2.4174047445511677,Low,extreme_error,LightGBM,log_target_price
2753,1.6,3.867711799500896,-2.267711799500896,2.267711799500896,-1.417319873802235,1.417319873802235,2.417319873177235,Low,extreme_error,CatBoost,target_price
3827,1.8,4.351010366021291,-2.5510103660212917,2.5510103660212917,-1.4172279803355907,1.4172279803355907,2.417227979780035,Low,extreme_error,LightGBM,target_price
4113,1.4,3.376704780807083,-1.9767047808070832,1.9767047808070832,-1.411931985282251,1.411931985282251,2.411931984567965,Low,extreme_error,CatBoost,target_price
5617,5.5,13.205853174230864,-7.705853174230864,7.705853174230864,-1.4010642132417817,1.4010642132417817,2.4010642130599638,Low,extreme_error,CatBoost,target_price
5123,3.9,9.25469715121832,-5.35469715121832,5.35469715121832,-1.3729992691911077,1.3729992691911077,2.3729992689346977,Low,extreme_error,CatBoost,target_price
2354,1.9,4.484665365337854,-2.584665365337854,2.584665365337854,-1.3603501915671072,1.3603501915671072,2.360350191040792,Low,extreme_error,CatBoost,log_target_price
5723,5.5,12.961852833793287,-7.461852833793287,7.461852833793287,-1.3567005149884703,1.3567005149884703,2.356700514806652,Low,extreme_error,LightGBM,log_target_price
221,1.2,2.817106816020713,-1.6171068160207132,1.6171068160207132,-1.3475890122276033,1.3475890122276033,2.34758901139427,Low,extreme_error,CatBoost,log_target_price
