ram_gb,storage_gb,screen_size_inch,brand_is_rare,model_is_rare,ram_missing,storage_missing,screen_missing,cpu_missing,gpu_missing,cpu_tier_encoded,gpu_tier_ord_filled,ram_level,storage_level,screen_size_level,brand_ASUS,brand_Acer,brand_Apple,brand_Dell,brand_HP,brand_Lenovo,brand_MSI,brand_Microsoft,brand_Other,model_Elitebook,model_Inspiron,model_Latitude,model_MacBook Air,model_MacBook Air M1,model_MacBook Pro,model_MacBook Pro M1,model_Nitro 5,model_Other,model_Precision,model_ProBook,model_ThinkPad,cpu_brand_AMD,cpu_brand_Apple,cpu_brand_Intel,cpu_brand_Microsoft SQ,cpu_brand_Other,cpu_brand_Qualcomm,storage_type_HDD,storage_type_Other,storage_type_SSD,storage_type_SSD + HDD,condition_Mới,condition_Unknown,condition_Đã sử dụng (chưa sửa chữa),condition_Đã sử dụng (qua sửa chữa),warranty_Active,warranty_Expired,warranty_Manufacturer,warranty_not_active,gpu_type_Apple SoC,gpu_type_Dedicated,gpu_type_Integrated,gpu_type_Missing_Info,target_price,log_target_price
16.0,256.0,13.95,0,0,0,0,0,0,0,6,0,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,6900000.0,15.747032114495012
8.0,256.0,15.95,0,0,0,0,0,0,0,5,0,3,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,6500000.0,15.687312888712007
8.0,127.0,13.95,0,0,0,0,0,0,0,5,2,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2999000.0,14.913789791175573
16.0,512.0,15.95,0,0,0,0,0,0,0,5,2,4,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,14900000.0,16.51687183802978
16.0,500.0,15.95,0,0,0,0,0,0,0,6,2,4,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,15000000.0,16.52356082573315
16.0,256.0,15.95,0,0,0,0,0,0,1,6,-1,4,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,10900000.0,16.204273438942487
8.0,256.0,15.95,0,1,0,0,0,0,0,5,0,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,4500000.0,15.319588176962746
8.0,256.0,13.95,0,0,0,0,0,0,0,6,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,5000000.0,15.424948670398354
8.0,256.0,13.95,0,0,0,0,0,0,0,5,2,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,5500000.0,15.520258832020865
8.0,256.0,13.95,0,0,0,0,0,0,0,5,0,3,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,6500000.0,15.687312888712007
